Altium Designer Pick and Place Locations
C:\w\snap\Altium\Snap2.1\Project Outputs for Snap21\Pick Place for Snap21.csv

========================================================================================================================
File Design Information:

Date:       10/01/22
Time:       17:21
Revision:   6e3cf208639b35bd72a00f3fb202693ecd73c940
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U1","LM66100","TopLayer","SC-70-6","-90.1700","-8.7630","90",""
"C1","1uF","TopLayer","0402","-90.1700","-10.9220","180","Ceramic Chip Capacitor - Standard"
"D2","PMEG3050EP*","TopLayer","Diode_PMEG3050EP","-96.0530","-8.3820","180",""
"R9","4.7k","TopLayer","3-0603","-76.3270","-18.5420","0","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"R8","4.7k","TopLayer","3-0603","-76.3270","-21.2090","0","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"U7","TLV70018DCKR","TopLayer","TI-DCK5_V","-17.3990","-0.5080","180","Single Output LDO, 200 mA, Fixed 1.8 V Output, 2 to 5.5 V Input, with Low IQ, 5-pin SC70 (DCK), -40 to 125 degC, Green (RoHS & no Sb/Br)"
"U6","LP3985IM5-3.3","TopLayer","MF05A_N","-9.9060","-9.0170","90","Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
"U5","LP3985IM5-3.3","TopLayer","MF05A_N","-22.4790","-30.4840","90","Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
"U4","SGTL5000","TopLayer","QFN32","-19.1770","-6.7310","0","SGTL5000"
"U3","LP3985IM5-3.3","TopLayer","MF05A_N","-29.2100","-3.8100","270","Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
"R7","330X","TopLayer","3-0603","-74.2950","-23.6220","180","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"R6","10k","TopLayer","3-0603","-35.3060","-24.6380","90","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
