Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Manufacturer Part,Digikey,Notes
,,,,,,,,,,,,
R9,3-0603,-76.327mm,-18.542mm,-76.327mm,-18.542mm,-77.177mm,-18.542mm,T,0,4.7k,,5% or better
R8,3-0603,-76.327mm,-21.209mm,-76.327mm,-21.209mm,-77.177mm,-21.209mm,T,0,4.7k,,5% or better
U7,TI-DCK5_V,-17.399mm,-0.508mm,-17.399mm,-0.508mm,-16.299mm,-1.158mm,T,180,TLV70018DCKR,296-32409-1-ND,
U6,MF05A_N,-9.906mm,-9.017mm,-9.906mm,-9.017mm,-10.856mm,-10.217mm,T,90,LP3985IM5-3.3,LP3985IM5-3.3/NOPBTR-ND,
U5,MF05A_N,-22.479mm,-30.484mm,-22.479mm,-30.484mm,-23.429mm,-31.684mm,T,90,LP3985IM5-3.3,LP3985IM5-3.3/NOPBTR-ND,
U4,QFN32,-19.177mm,-6.731mm,-19.177mm,-6.731mm,-21.677mm,-4.981mm,T,0,SGTL5000XNAA3R2,SGTL5000XNAA3R2CT-ND,
U3,MF05A_N,-29.21mm,-3.81mm,-29.21mm,-3.81mm,-28.26mm,-2.61mm,T,270,LP3985IM5-3.3,LP3985IM5-3.3/NOPBTR-ND,
U1,SC-70-6,-90.17mm,-8.89mm,-90.17mm,-8.89mm,-90.82mm,-9.84mm,T,90,LM66100,296-53540-1-ND,
R7,3-0603,-74.295mm,-23.622mm,-74.295mm,-23.622mm,-73.445mm,-23.622mm,T,180,330X,,5% or better
R6,3-0603,-35.306mm,-24.638mm,-35.306mm,-24.638mm,-35.306mm,-25.488mm,T,90,10k,,1% or better
R5,3-0603,-55.245mm,-24.638mm,-55.245mm,-24.638mm,-55.245mm,-25.488mm,T,90,10k,,1% or better
R4,3-0603,-72.009mm,-28.829mm,-72.009mm,-28.829mm,-72.859mm,-28.829mm,T,360,10k,,1% or better
R3,3-0603,-43.434mm,-24.638mm,-43.434mm,-24.638mm,-43.434mm,-25.488mm,T,90,10k,,1% or better
R2,3-0603,-86.614mm,-11.43mm,-86.614mm,-11.43mm,-87.464mm,-11.43mm,T,360,100k,,1% or better
R1,3-0603,-86.614mm,-9.906mm,-86.614mm,-9.906mm,-85.764mm,-9.906mm,T,180,100k,,1% or better
P11,HDR1X3,-28.575mm,-18.415mm,-28.575mm,-15.875mm,-28.575mm,-15.875mm,T,270,0705530037,WM4925-ND,
P9,SOP4,-35.792mm,-31.024mm,-31.242mm,-33.274mm,-31.242mm,-33.274mm,T,180,FSM2JSMATR,450-1757-2-ND,
P7,SOP4,-59.922mm,-31.024mm,-55.372mm,-33.274mm,-55.372mm,-33.274mm,T,180,FSM2JSMATR,450-1757-2-ND,
P6,DM3D_microSD,-92.9005mm,-27.379mm,-91.059mm,-29.21mm,-89.458mm,-32.398mm,T,90,DM3D-SF,HR1941CT-ND,
P5,SOP4,-47.857mm,-31.024mm,-43.307mm,-33.274mm,-43.307mm,-33.274mm,T,180,FSM2JSMATR,450-1757-2-ND,
P4,Slide Switch,-94.742mm,-2.159mm,-97.282mm,-2.159mm,-97.282mm,-2.159mm,T,360,EG1218,EG1903-ND,
P3,CoinCellHolder,-49.2211mm,-18.2159mm,-38.862mm,-28.575mm,-38.862mm,-28.575mm,B,135,BU2032SM-BT-GTR,BU2032SM-BT-GCT-ND,
P2,HDR1X2,-86.868mm,-16.383mm,-86.868mm,-15.113mm,-86.868mm,-15.113mm,T,270,705530036,WM4924-ND,
D1,Diode0603,-78.359mm,-23.622mm,-78.359mm,-23.622mm,-77.534mm,-23.622mm,T,180,SML-D12M1WT86,SML-D12M1WT86TR-ND,or similar green LED
C26,402,-20.828mm,-1.016mm,-20.828mm,-1.016mm,-20.178mm,-1.016mm,T,180,1.0uF,,"1%, X7R"
C25,402,-13.97mm,-1.143mm,-13.97mm,-1.143mm,-14.62mm,-1.143mm,T,360,1.0uF,,"1%, X7R"
C24,402,-18.415mm,-11.557mm,-18.415mm,-11.557mm,-18.415mm,-12.207mm,T,90,1.0uF,,"1%, X7R"
C23,402,-9.017mm,-5.461mm,-9.017mm,-5.461mm,-9.017mm,-6.111mm,T,90,0.01uF,,"10%, X7R"
C22,402,-10.541mm,-11.811mm,-10.541mm,-11.811mm,-11.191mm,-11.811mm,T,360,1uF,,"1%, X7R"
