Altium Designer Pick and Place Locations
C:\w\snap\Altium\Snap4\Project Outputs for Snap4\Pick Place for Snap4.csv

========================================================================================================================
File Design Information:

Date:       01/07/24
Time:       13:39
Revision:   d5d5bc1122725e80623d091c09173e6e468a39db
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R7","330X","TopLayer","3-0603","23.3680","-9.0170","90","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"D1","LED_0603","TopLayer","Diode0603","23.3680","-5.2070","90",""
"U10","MK20DX256VLH7","TopLayer","QFP50P1200X1200X160-64N","30.7340","-23.1140","90","ARM®Cortex®-M4Kinetis K20微控制器IC 32位72MHz 256KB（256K x 8）FLASH 64-LQFP（10x10）"
"Y1","FA-20H_16.0000MF10Z-AJ3","TopLayer","XTAL_FA-20H_16.0000MF10Z-AJ3","38.9890","-15.3670","0","16 MHz �10ppm Crystal 8pF 80 Ohms 4-SMD, No Lead"
"U9","ADP1712AUJZ-3.3-R7","TopLayer","MF05A_N","1.8131","-13.8343","0","Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
"R10","DNP","TopLayer","3-0603","35.8140","-33.7820","270","Precision Thick Film Chip Resistor, 10 Ohm to 1M Ohm Range, 1% and 0.5% Tolerance, 0603 Size, 0.063 W"
"P14","20021121-00010C4LF","TopLayer","AMPHENOL_20021121-00010C4LF","44.1960","-21.2090","270","Conn Rect BrdtoBrd UnshroudedHeader 10Cnts SMT 1.27x1.27mmSpng | Amphenol FCI (Amphenol CS) 20021121-00010C4LF"
"P13","microUSB","TopLayer","microUSB-B","29.6410","-33.1970","0",""
"D3","Shottky","TopLayer","DFLS130","22.8600","-29.8500","90",""
"C33","0.01uF","TopLayer","0402","5.8771","-14.8503","0","Ceramic Chip Capacitor - Standard"
"C32","2.2uF","TopLayer","0402","5.8420","-12.9540","0","Ceramic Chip Capacitor - Standard"
"C31","2.2uF","TopLayer","0402","-0.8890","-13.5890","270","Ceramic Chip Capacitor - Standard"
"C30","10uF","TopLayer","Tant0805","5.8420","-11.3030","180",""
"*1","XTAL_ABS06","TopLayer","XTAL-ABS06","39.6240","-25.7810","270",""
"U8","ADP1712AUJZ-3.3-R7","TopLayer","MF05A_N","0.2540","-22.0980","270","Micropower, 150mA Low-Noise Ultra Low-Dropout CMOS Voltage Regulator"
"C28","0.01uF","TopLayer","0402","-2.4130","-24.5110","270","Ceramic Chip Capacitor - Standard"
"C27","2.2uF","TopLayer","0402","0.5080","-19.0500","180","Ceramic Chip Capacitor - Standard"
"C4","2.2uF","TopLayer","0402","4.5720","-22.7330","90","Ceramic Chip Capacitor - Standard"
"C3","10uF","TopLayer","Tant0805","3.0480","-22.8600","270",""
"U2","DS3231","TopLayer","DS3231","31.8910","-5.3340","0",""
