filename, ID, gain (dB), Voltage, Version
20190701T141040.wav,0423322908248198,0.00,3.66,2019-05-28
20190701T141240.wav,0423322908248198,0.00,3.70,2019-05-28
20190701T141440.wav,0423322908248198,0.00,3.65,2019-05-28
20190701T141640.wav,0423322908248198,0.00,3.72,2019-05-28
20190701T141840.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T142040.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T142240.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T142440.wav,0423322908248198,0.00,3.72,2019-05-28
20190701T142640.wav,0423322908248198,0.00,3.75,2019-05-28
20190701T142840.wav,0423322908248198,0.00,3.75,2019-05-28
20190701T143040.wav,0423322908248198,0.00,3.67,2019-05-28
20190701T143240.wav,0423322908248198,0.00,3.72,2019-05-28
20190701T143440.wav,0423322908248198,0.00,3.69,2019-05-28
20190701T143640.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T143840.wav,0423322908248198,0.00,3.72,2019-05-28
20190701T144040.wav,0423322908248198,0.00,3.78,2019-05-28
20190701T144240.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T144440.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T144640.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T144840.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T145040.wav,0423322908248198,0.00,3.76,2019-05-28
20190701T145240.wav,0423322908248198,0.00,3.76,2019-05-28
20190701T145440.wav,0423322908248198,0.00,3.71,2019-05-28
20190701T145640.wav,0423322908248198,0.00,3.76,2019-05-28
20190701T145840.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T150040.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T150240.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T150440.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T150640.wav,0423322908248198,0.00,3.77,2019-05-28
20190701T150840.wav,0423322908248198,0.00,3.75,2019-05-28
20190701T151040.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T151240.wav,0423322908248198,0.00,3.70,2019-05-28
20190701T151440.wav,0423322908248198,0.00,3.70,2019-05-28
20190701T151640.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T151840.wav,0423322908248198,0.00,3.80,2019-05-28
20190701T152040.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T152240.wav,0423322908248198,0.00,3.69,2019-05-28
20190701T152440.wav,0423322908248198,0.00,3.71,2019-05-28
20190701T152640.wav,0423322908248198,0.00,3.75,2019-05-28
20190701T152840.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T153040.wav,0423322908248198,0.00,3.71,2019-05-28
20190701T153240.wav,0423322908248198,0.00,3.76,2019-05-28
20190701T153440.wav,0423322908248198,0.00,3.73,2019-05-28
20190701T153640.wav,0423322908248198,0.00,3.75,2019-05-28
20190701T153840.wav,0423322908248198,0.00,3.75,2019-05-28
20190701T154040.wav,0423322908248198,0.00,3.74,2019-05-28
20190701T154240.wav,0423322908248198,0.00,3.76,2019-05-28
