filename, ID, gain (dB), Voltage, Version
20190708T152140.wav,0423322908248198,2.05,3.43,2019-05-28
20190708T152340.wav,0423322908248198,2.05,3.55,2019-05-28
20190708T152540.wav,0423322908248198,2.05,3.61,2019-05-28
20190708T152740.wav,0423322908248198,2.05,3.62,2019-05-28
20190708T152940.wav,0423322908248198,2.05,3.68,2019-05-28
20190708T153140.wav,0423322908248198,2.05,3.73,2019-05-28
20190708T153340.wav,0423322908248198,2.05,3.62,2019-05-28
20190708T153540.wav,0423322908248198,2.05,3.66,2019-05-28
20190708T153740.wav,0423322908248198,2.05,3.61,2019-05-28
20190708T153940.wav,0423322908248198,2.05,3.69,2019-05-28
20190708T154140.wav,0423322908248198,2.05,3.64,2019-05-28
20190708T154340.wav,0423322908248198,2.05,3.63,2019-05-28
20190708T154540.wav,0423322908248198,2.05,3.63,2019-05-28
20190708T154740.wav,0423322908248198,2.05,3.68,2019-05-28
20190708T154940.wav,0423322908248198,2.05,3.53,2019-05-28
20190708T155140.wav,0423322908248198,2.05,3.57,2019-05-28
20190708T155340.wav,0423322908248198,2.05,3.51,2019-05-28
20190708T155540.wav,0423322908248198,2.05,3.63,2019-05-28
20190708T155740.wav,0423322908248198,2.05,3.68,2019-05-28
20190708T155940.wav,0423322908248198,2.05,3.63,2019-05-28
20190708T160140.wav,0423322908248198,2.05,3.69,2019-05-28
20190708T160340.wav,0423322908248198,2.05,3.63,2019-05-28
20190708T160540.wav,0423322908248198,2.05,3.60,2019-05-28
20190708T160740.wav,0423322908248198,2.05,3.59,2019-05-28
20190708T160940.wav,0423322908248198,2.05,3.64,2019-05-28
20190708T161140.wav,0423322908248198,2.05,3.56,2019-05-28
20190708T161340.wav,0423322908248198,2.05,3.58,2019-05-28
20190708T161540.wav,0423322908248198,2.05,3.62,2019-05-28
20190708T161740.wav,0423322908248198,2.05,3.50,2019-05-28
20190708T161940.wav,0423322908248198,2.05,3.62,2019-05-28
20190708T162140.wav,0423322908248198,2.05,3.70,2019-05-28
20190708T162340.wav,0423322908248198,2.05,3.65,2019-05-28
20190708T162540.wav,0423322908248198,2.05,3.62,2019-05-28
20190708T162740.wav,0423322908248198,2.05,3.52,2019-05-28
20190708T162940.wav,0423322908248198,2.05,3.63,2019-05-28
20190708T163140.wav,0423322908248198,2.05,3.66,2019-05-28
20190708T163340.wav,0423322908248198,2.05,3.68,2019-05-28
20190708T163540.wav,0423322908248198,2.05,3.65,2019-05-28
20190708T163740.wav,0423322908248198,2.05,3.58,2019-05-28
20190708T163940.wav,0423322908248198,2.05,3.70,2019-05-28
20190708T164140.wav,0423322908248198,2.05,3.68,2019-05-28
20190708T164340.wav,0423322908248198,2.05,3.65,2019-05-28
20190708T164540.wav,0423322908248198,2.05,3.69,2019-05-28
20190708T164740.wav,0423322908248198,2.05,3.67,2019-05-28
20190708T164940.wav,0423322908248198,2.05,3.67,2019-05-28
20190708T165140.wav,0423322908248198,2.05,3.68,2019-05-28
20190708T165340.wav,0423322908248198,2.05,3.64,2019-05-28
20190708T165540.wav,0423322908248198,2.05,3.59,2019-05-28
20190708T165740.wav,0423322908248198,2.05,3.53,2019-05-28
20190708T165940.wav,0423322908248198,2.05,3.61,2019-05-28
20190708T170140.wav,0423322908248198,2.05,3.61,2019-05-28
20190708T170340.wav,0423322908248198,2.05,3.66,2019-05-28
20190708T170540.wav,0423322908248198,2.05,3.59,2019-05-28
20190708T170740.wav,0423322908248198,2.05,3.71,2019-05-28
20190708T170940.wav,0423322908248198,2.05,3.68,2019-05-28
20190708T171140.wav,0423322908248198,2.05,3.70,2019-05-28
20190708T171340.wav,0423322908248198,2.05,3.69,2019-05-28
20190708T171540.wav,0423322908248198,2.05,3.74,2019-05-28
20190708T171740.wav,0423322908248198,2.05,3.80,2019-05-28
20190708T171940.wav,0423322908248198,2.05,3.61,2019-05-28
20190708T172140.wav,0423322908248198,2.05,3.61,2019-05-28
20190708T172340.wav,0423322908248198,2.05,3.68,2019-05-28
20190708T172540.wav,0423322908248198,2.05,3.64,2019-05-28
20190708T172740.wav,0423322908248198,2.05,3.65,2019-05-28
20190708T172940.wav,0423322908248198,2.05,3.71,2019-05-28
20190708T173140.wav,0423322908248198,2.05,3.62,2019-05-28
20190708T173340.wav,0423322908248198,2.05,3.61,2019-05-28
20190708T173540.wav,0423322908248198,2.05,3.66,2019-05-28
20190708T173740.wav,0423322908248198,2.05,3.67,2019-05-28
20190708T173940.wav,0423322908248198,2.05,3.67,2019-05-28
20190708T174140.wav,0423322908248198,2.05,3.73,2019-05-28
20190708T174340.wav,0423322908248198,2.05,3.58,2019-05-28
20190708T174540.wav,0423322908248198,2.05,3.62,2019-05-28
20190708T174740.wav,0423322908248198,2.05,3.71,2019-05-28
20190708T174940.wav,0423322908248198,2.05,3.66,2019-05-28
20190708T175140.wav,0423322908248198,2.05,3.62,2019-05-28
20190708T175340.wav,0423322908248198,2.05,3.66,2019-05-28
20190708T175540.wav,0423322908248198,2.05,3.67,2019-05-28
20190708T175740.wav,0423322908248198,2.05,3.67,2019-05-28
20190708T175940.wav,0423322908248198,2.05,3.67,2019-05-28
20190708T180140.wav,0423322908248198,2.05,3.60,2019-05-28
20190708T180340.wav,0423322908248198,2.05,3.70,2019-05-28
20190708T180540.wav,0423322908248198,2.05,3.67,2019-05-28
20190708T180740.wav,0423322908248198,2.05,3.59,2019-05-28
20190708T180940.wav,0423322908248198,2.05,3.69,2019-05-28
20190708T181140.wav,0423322908248198,2.05,3.62,2019-05-28
20190708T181340.wav,0423322908248198,2.05,3.59,2019-05-28
20190708T181540.wav,0423322908248198,2.05,3.66,2019-05-28
20190708T181740.wav,0423322908248198,2.05,3.60,2019-05-28
20190708T181940.wav,0423322908248198,2.05,3.64,2019-05-28
20190708T182140.wav,0423322908248198,2.05,3.64,2019-05-28
20190708T182340.wav,0423322908248198,2.05,3.59,2019-05-28
20190708T182540.wav,0423322908248198,2.05,3.68,2019-05-28
20190708T182740.wav,0423322908248198,2.05,3.68,2019-05-28
20190708T182940.wav,0423322908248198,2.05,3.56,2019-05-28
20190708T183140.wav,0423322908248198,2.05,3.71,2019-05-28
20190708T183340.wav,0423322908248198,2.05,3.67,2019-05-28
20190708T183540.wav,0423322908248198,2.05,3.71,2019-05-28
20190708T183740.wav,0423322908248198,2.05,3.69,2019-05-28
20190708T183940.wav,0423322908248198,2.05,3.69,2019-05-28
20190708T184140.wav,0423322908248198,2.05,3.65,2019-05-28
20190708T184340.wav,0423322908248198,2.05,3.67,2019-05-28
20190708T184540.wav,0423322908248198,2.05,3.68,2019-05-28
20190708T184740.wav,0423322908248198,2.05,3.60,2019-05-28
20190708T184940.wav,0423322908248198,2.05,3.61,2019-05-28
20190708T185140.wav,0423322908248198,2.05,3.62,2019-05-28
20190708T185340.wav,0423322908248198,2.05,3.65,2019-05-28
