filename, ID, gain (dB), Voltage, Version
20190708T152130.wav,0423322908248129,2.05,3.45,2019-05-28
20190708T152330.wav,0423322908248129,2.05,3.43,2019-05-28
20190708T152530.wav,0423322908248129,2.05,3.43,2019-05-28
20190708T152730.wav,0423322908248129,2.05,3.34,2019-05-28
20190708T152930.wav,0423322908248129,2.05,3.37,2019-05-28
20190708T153130.wav,0423322908248129,2.05,3.24,2019-05-28
20190708T153330.wav,0423322908248129,2.05,3.53,2019-05-28
20190708T153530.wav,0423322908248129,2.05,3.47,2019-05-28
20190708T153730.wav,0423322908248129,2.05,3.56,2019-05-28
20190708T153930.wav,0423322908248129,2.05,3.37,2019-05-28
20190708T154130.wav,0423322908248129,2.05,2.82,2019-05-28
Stopping because Voltage less than 3.0 V
filename, ID, gain (dB), Voltage, Version
20190708T155240.wav,0423322908248129,2.05,2.77,2019-05-28
Stopping because Voltage less than 3.0 V
